Professor	教授
User ID	用户名称
Version	版本
w/o Completion?	欠完成日?
Name	名称
By Group	依群组
Group Name	用户群组名称
Group Properties	用户群组属性
Group Permission	群组权限
IMAP	IMAP
Immediate Archive	即时存档
Inbox	收件箱
Add Inbox	新增信件箱
Delete Inbox	删除信件箱
Edit Inbox	编辑信件箱
Description	描述
Destination Folder	目的地资料夹
Inbox Email Address	信件箱电子邮件地址
Inbox ID	信件箱编号
Last Connection Status	最後连结状态
Last Connect Time	最後连结时间
Sender List	寄件人列表
Created By	建立用户
Created Date	建立日期
Description	描述
Description Folder	目的地资料夹
Inbox Checked Email ID	信件箱已检邮件值
Inbox Email Address	信件箱电子邮件地址
Inbox IMAP Host	信件箱IMAP主机
Inbox IMAP Port	信件箱IMAP端口
Inbox Password	信件箱密码
Inbox Secure SSL	信件箱安全协定SSL
Sender List	寄件人
Inbox Subject Prefix	信件箱题目前缀
Last Connection Status	最後连结状态
Last Connection Time	最後连结时间
Last Modified	更新日期
Updated By	更新用户
New Inbox	新增信件箱
Insufficient permissions	没有足够的权限 
Keep Field Value	保留属性值
KeyField	关键字 
Keywords	关键字
Max files exceeded more than 10, Total:	档案数量超过10, 总共:
File(s) is over Max file size of 20MB	档案大小超过20MB
File(s) is over Max file size of 20MB and max files exceeded more than 10, Total:	档案大小超过20MB及数量超过10, 总共:
Remove File	移除档案
Please select the description folder	请点选目的地资料夹作上传
Large Preview	放大预览
Last Login Date	上一次登入时间
Last Name	姓氏
Last Updated	更新日期
Failed	失败
Indexing	索引
In Progress	进行中
Others	其他
PDF Rendition	PDF转换
Pending	待索引
Succeed	成功
Unsupported	不支持
Updated	更新
Total License Count	授权总数
Send To	发送到
View Group	查看群组
Locale	语言
English (US)	英文(美国)
Japanese	日语
Korean	韩语
Simplified Chinese	简体中文
Traditional Chinese	繁体中文
Location	位置
Login ID	用户名称
Password	密码
Login/Logout	登入及登出事件
Master Folder	主资料夹
Master Folder Object Summary	主文件夹对象报告 
Master Folder Permission Summary	主文件夹权限报告
Merge Print	合并打印 
Message Content	内容
Modified Item Duration	修改项目期间
System Default Role is not allowed to change setting	系统默认的角色是不能更改设置
Unable to get document permission information, please try to reopen document again.	无法获取文件权限信息,请再次尝试重新打开文件。
Permission denied, not allow to delete all the selected records	权限被拒绝,不能删除所选的记录
The testing email was sent, please check your email to confirm.	测试电子邮件已发送,请检查您的电子邮件以确认。
The new profile setting will be active after system reload, please press "Yes" to reload system or press "No" to keep cerrent setting, the new setting will be activate on next logon.	系统需要重置後才能启用新的使用者设定, 请按"是"重置系统或按"否"保留现在画面而新的使用者设定将在下次登入後启用.
Named User	命名用户
New Item Duration	新项目期间
New Organizational Unit	新组织
News	最新消息
Content	内容
Effective Date	有效日期
Expiry Date	到期日期
Heading	主题
Status	状态
Type	类型
Content	内容
Effective Date	有效日期
Expiry Date	到期日期
Heading	主题
Private	私人
Public	公开
Status	状态
Type	类型
New Task	新增工作
No	否
No Record found.	没有符合档案.
No	否 
Reset Password is not matched	重置密码不匹配
Object	对象
Old Password	旧密码
Open Document	開啟文件
Org. Unit Name	组织名称
Org. Unit Properties	组织属性
Outbox	寄件箱
Override Mandatory	覆盖必须项
Password	密码
Password Reset	重置密码
